Speltitel;Placering;Land;Datum
Hidden City®;77;Korea;2017-12-10;722217471
Mahjong Journey®;200;Korea;2017-12-10;938207958
Twin Moons®;230;Korea;2017-12-10;1151831172
The Secret Society®;278;Korea;2017-12-10;542180079
Survivors: the Quest®;342;Korea;2017-12-10;937737946
Pirates &amp Pearls™;359;Korea;2017-12-10;1241322027
Homicide Squad: Hidden Crimes;367;Korea;2017-12-10;1179007417
Virtual City Playground®: Building Tycoon HD;699;Korea;2017-12-10;447763975
The Island Castaway®: Lost World™;840;Korea;2017-12-10;767324855
Letters From Nowhere®: A Hidden Object Mystery;942;Korea;2017-12-10;663329194
Hidden City®;16;Ryssland;2017-12-10;722217471
Pirates &amp Pearls™;21;Ryssland;2017-12-10;1241322027
The Secret Society®;130;Ryssland;2017-12-10;542180079
Mahjong Journey®;150;Ryssland;2017-12-10;938207958
Survivors: the Quest®;235;Ryssland;2017-12-10;937737946
Supermarket Mania® Journey;271;Ryssland;2017-12-10;1019149311
Twin Moons®;379;Ryssland;2017-12-10;1151831172
The Island Castaway®: Lost World™;535;Ryssland;2017-12-10;767324855
The Paranormal Society™;555;Ryssland;2017-12-10;990652974
Kate Malone;567;Ryssland;2017-12-10;1032350309
Homicide Squad: Hidden Crimes;573;Ryssland;2017-12-10;1179007417
Mystery of the Opera®;713;Ryssland;2017-12-10;1265270522
Letters From Nowhere®: A Hidden Object Mystery;938;Ryssland;2017-12-10;663329194
Mahjong Journey®;36;Brasilien;2017-12-10;938207958
The Secret Society®;94;Brasilien;2017-12-10;542180079
The Island Castaway®: Lost World™;173;Brasilien;2017-12-10;767324855
Hidden City®;181;Brasilien;2017-12-10;722217471
Survivors: the Quest®;219;Brasilien;2017-12-10;937737946
Nightmares from the Deep®;362;Brasilien;2017-12-10;1132245104
Pirates &amp Pearls™;630;Brasilien;2017-12-10;1241322027
Mystery of the Opera®;698;Brasilien;2017-12-10;1265270522
Supermarket Mania® Journey;750;Brasilien;2017-12-10;1019149311
Homicide Squad: Hidden Crimes;773;Brasilien;2017-12-10;1179007417
Virtual City Playground®: Building Tycoon HD;855;Brasilien;2017-12-10;447763975
Hidden City®;45;USA;2017-12-11;722217471
Mahjong Journey®;76;USA;2017-12-11;938207958
The Secret Society®;127;USA;2017-12-11;542180079
Twin Moons®;327;USA;2017-12-11;1151831172
Pirates &amp Pearls™;429;USA;2017-12-11;1241322027
Survivors: the Quest®;484;USA;2017-12-11;937737946
The Paranormal Society™;570;USA;2017-12-11;990652974
Supermarket Mania® Journey;588;USA;2017-12-11;1019149311
Letters From Nowhere®: A Hidden Object Mystery;818;USA;2017-12-11;663329194
Homicide Squad: Hidden Crimes;828;USA;2017-12-11;1179007417
Mystery of the Opera®;862;USA;2017-12-11;1265270522
Hidden City®;42;UK;2017-12-11;722217471
Mahjong Journey®;53;UK;2017-12-11;938207958
The Secret Society®;87;UK;2017-12-11;542180079
Twin Moons®;179;UK;2017-12-11;1151831172
Pirates &amp Pearls™;239;UK;2017-12-11;1241322027
The Paranormal Society™;282;UK;2017-12-11;990652974
Survivors: the Quest®;289;UK;2017-12-11;937737946
Farm Clan®: Farm Life Adventure;640;UK;2017-12-11;669985678
Mystery of the Opera®;689;UK;2017-12-11;1265270522
Hidden City®;37;Tyskland;2017-12-11;722217471
Mahjong Journey®;96;Tyskland;2017-12-11;938207958
Supermarket Mania® Journey;105;Tyskland;2017-12-11;1019149311
Twin Moons®;255;Tyskland;2017-12-11;1151831172
Survivors: the Quest®;272;Tyskland;2017-12-11;937737946
The Secret Society®;277;Tyskland;2017-12-11;542180079
The Paranormal Society™;380;Tyskland;2017-12-11;990652974
Farm Clan®: Farm Life Adventure;512;Tyskland;2017-12-11;669985678
Pirates &amp Pearls™;553;Tyskland;2017-12-11;1241322027
Graven: The Purple Moon Prophecy HD;873;Tyskland;2017-12-11;952243019
Mystery of the Opera®;893;Tyskland;2017-12-11;1265270522
Hidden City®;62;Canada;2017-12-11;722217471
Mahjong Journey®;103;Canada;2017-12-11;938207958
The Secret Society®;152;Canada;2017-12-11;542180079
Supermarket Mania® Journey;401;Canada;2017-12-11;1019149311
Twin Moons®;403;Canada;2017-12-11;1151831172
Farm Clan®: Farm Life Adventure;421;Canada;2017-12-11;669985678
The Paranormal Society™;618;Canada;2017-12-11;990652974
Survivors: the Quest®;628;Canada;2017-12-11;937737946
Pirates &amp Pearls™;667;Canada;2017-12-11;1241322027
Letters From Nowhere®: A Hidden Object Mystery;794;Canada;2017-12-11;663329194
Mystery of the Opera®;846;Canada;2017-12-11;1265270522
The Cursed Ship, Collector’s Edition HD;902;Canada;2017-12-11;807485218
Hidden City®;64;Frankrike;2017-12-11;722217471
Mahjong Journey®;84;Frankrike;2017-12-11;938207958
The Paranormal Society™;400;Frankrike;2017-12-11;990652974
The Secret Society®;431;Frankrike;2017-12-11;542180079
Survivors: the Quest®;484;Frankrike;2017-12-11;937737946
Nightmares from the Deep™: The Siren’s Call HD (Full);651;Frankrike;2017-12-11;695111082
Pirates &amp Pearls™;895;Frankrike;2017-12-11;1241322027
Jane&#39s Hotel 2: Family Hero;929;Frankrike;2017-12-11;448165372
Virtual City Playground®: Building Tycoon HD;948;Frankrike;2017-12-11;447763975
Hidden City®;25;Japan;2017-12-11;722217471
Mahjong Journey®;204;Japan;2017-12-11;938207958
Twin Moons®;333;Japan;2017-12-11;1151831172
Survivors: the Quest®;374;Japan;2017-12-11;937737946
The Secret Society®;376;Japan;2017-12-11;542180079
Pirates &amp Pearls™;474;Japan;2017-12-11;1241322027
Homicide Squad: Hidden Crimes;558;Japan;2017-12-11;1179007417
The Paranormal Society™;600;Japan;2017-12-11;990652974
Stand O’Food® City: Virtual Frenzy;696;Japan;2017-12-11;672707752
Mystery of the Opera®;908;Japan;2017-12-11;1265270522
Supermarket Mania® Journey;920;Japan;2017-12-11;1019149311
Hidden City®;47;Australien;2017-12-11;722217471
The Secret Society®;61;Australien;2017-12-11;542180079
Mahjong Journey®;90;Australien;2017-12-11;938207958
Pirates &amp Pearls™;105;Australien;2017-12-11;1241322027
Survivors: the Quest®;180;Australien;2017-12-11;937737946
Nightmares from the Deep®;270;Australien;2017-12-11;1132245104
Twin Moons®;316;Australien;2017-12-11;1151831172
Homicide Squad: Hidden Crimes;479;Australien;2017-12-11;1179007417
Mystery of the Opera®;543;Australien;2017-12-11;1265270522
The Paranormal Society™;973;Australien;2017-12-11;990652974
Supermarket Mania® Journey;990;Australien;2017-12-11;1019149311
Hidden City®;63;Italien;2017-12-11;722217471
The Secret Society®;124;Italien;2017-12-11;542180079
Mahjong Journey®;125;Italien;2017-12-11;938207958
Pirates &amp Pearls™;258;Italien;2017-12-11;1241322027
Nightmares from the Deep®;475;Italien;2017-12-11;1132245104
Twin Moons®;620;Italien;2017-12-11;1151831172
Mind Snares: Alice&#39s Journey HD;640;Italien;2017-12-11;942900332
Supermarket Mania® Journey;694;Italien;2017-12-11;1019149311
Lost Souls: Enchanted Paintings HD (Full);734;Italien;2017-12-11;520133320
Letters From Nowhere®: A Hidden Object Mystery;790;Italien;2017-12-11;663329194
Survivors: the Quest®;902;Italien;2017-12-11;937737946
Hidden City®;101;Holland;2017-12-11;722217471
Twin Moons®;184;Holland;2017-12-11;1151831172
Mystery of the Opera®;248;Holland;2017-12-11;1265270522
The Secret Society®;288;Holland;2017-12-11;542180079
Mahjong Journey®;325;Holland;2017-12-11;938207958
Survivors: the Quest®;330;Holland;2017-12-11;937737946
Farm Clan®: Farm Life Adventure;390;Holland;2017-12-11;669985678
Royal Trouble: Hidden Honeymoon Havoc HD;454;Holland;2017-12-11;1061664350
Pirates &amp Pearls™;495;Holland;2017-12-11;1241322027
Kingdom Tales 2 HD (Full);776;Holland;2017-12-11;960643740
Supermarket Mania® Journey;970;Holland;2017-12-11;1019149311
Hidden City®;19;Spanien;2017-12-11;722217471
The Secret Society®;105;Spanien;2017-12-11;542180079
Mahjong Journey®;118;Spanien;2017-12-11;938207958
Survivors: the Quest®;199;Spanien;2017-12-11;937737946
Farm Clan®: Farm Life Adventure;257;Spanien;2017-12-11;669985678
Letters From Nowhere®: A Hidden Object Mystery;287;Spanien;2017-12-11;663329194
Twin Moons®;371;Spanien;2017-12-11;1151831172
The Paranormal Society™;372;Spanien;2017-12-11;990652974
Pirates &amp Pearls™;520;Spanien;2017-12-11;1241322027
Mystery of the Opera®;533;Spanien;2017-12-11;1265270522
9 Clues 2: The Ward HD;547;Spanien;2017-12-11;969502865
Lost Souls: Timeless Fables HD;945;Spanien;2017-12-11;1021997264
Graven: The Purple Moon Prophecy HD;951;Spanien;2017-12-11;952243019
9 Clues: The Secret of Serpent Creek HD;953;Spanien;2017-12-11;727046999
Hidden City®;50;Kina;2017-12-11;722217471
Mahjong Journey®;225;Kina;2017-12-11;938207958
Supermarket Mania® Journey;392;Kina;2017-12-11;1019149311
The Secret Society®;449;Kina;2017-12-11;542180079
Survivors: the Quest®;469;Kina;2017-12-11;937737946
Pirates &amp Pearls™;556;Kina;2017-12-11;1241322027
Twin Moons®;628;Kina;2017-12-11;1151831172
Mind Snares: Alice&#39s Journey HD;755;Kina;2017-12-11;942900332
Mystery of the Opera®;782;Kina;2017-12-11;1265270522
Homicide Squad: Hidden Crimes;838;Kina;2017-12-11;1179007417
Hidden City®;44;Korea;2017-12-11;722217471
Twin Moons®;240;Korea;2017-12-11;1151831172
Pirates &amp Pearls™;264;Korea;2017-12-11;1241322027
Mahjong Journey®;322;Korea;2017-12-11;938207958
The Secret Society®;345;Korea;2017-12-11;542180079
The Paranormal Society™;429;Korea;2017-12-11;990652974
Royal Trouble;433;Korea;2017-12-11;473220387
Survivors: the Quest®;466;Korea;2017-12-11;937737946
Homicide Squad: Hidden Crimes;482;Korea;2017-12-11;1179007417
Virtual City Playground®: Building Tycoon HD;717;Korea;2017-12-11;447763975
The Island Castaway®: Lost World™;857;Korea;2017-12-11;767324855
Letters From Nowhere®: A Hidden Object Mystery;960;Korea;2017-12-11;663329194
Hidden City®;12;Ryssland;2017-12-11;722217471
Pirates &amp Pearls™;37;Ryssland;2017-12-11;1241322027
Survivors: the Quest®;118;Ryssland;2017-12-11;937737946
Mahjong Journey®;174;Ryssland;2017-12-11;938207958
Kate Malone;251;Ryssland;2017-12-11;1032350309
The Secret Society®;277;Ryssland;2017-12-11;542180079
The Island - Castaway® HD;469;Ryssland;2017-12-11;498932805
Letters From Nowhere®: A Hidden Object Mystery;491;Ryssland;2017-12-11;663329194
Supermarket Mania® Journey;541;Ryssland;2017-12-11;1019149311
Supermarket Management 2;707;Ryssland;2017-12-11;603132715
Twin Moons®;708;Ryssland;2017-12-11;1151831172
Mystery of the Opera®;824;Ryssland;2017-12-11;1265270522
The Island Castaway®: Lost World™;912;Ryssland;2017-12-11;767324855
The Paranormal Society™;931;Ryssland;2017-12-11;990652974
Homicide Squad: Hidden Crimes;946;Ryssland;2017-12-11;1179007417
Mahjong Journey®;89;Brasilien;2017-12-11;938207958
The Secret Society®;180;Brasilien;2017-12-11;542180079
Hidden City®;205;Brasilien;2017-12-11;722217471
The Island Castaway®: Lost World™;314;Brasilien;2017-12-11;767324855
Survivors: the Quest®;387;Brasilien;2017-12-11;937737946
Nightmares from the Deep®;518;Brasilien;2017-12-11;1132245104
Pirates &amp Pearls™;758;Brasilien;2017-12-11;1241322027
Mystery of the Opera®;834;Brasilien;2017-12-11;1265270522
Virtual City Playground®: Building Tycoon HD;872;Brasilien;2017-12-11;447763975
Hidden City®;44;USA;2017-12-12;722217471
Mahjong Journey®;75;USA;2017-12-12;938207958
The Secret Society®;123;USA;2017-12-12;542180079
Twin Moons®;277;USA;2017-12-12;1151831172
Survivors: the Quest®;373;USA;2017-12-12;937737946
Pirates &amp Pearls™;404;USA;2017-12-12;1241322027
Supermarket Mania® Journey;498;USA;2017-12-12;1019149311
The Paranormal Society™;620;USA;2017-12-12;990652974
Homicide Squad: Hidden Crimes;682;USA;2017-12-12;1179007417
Letters From Nowhere®: A Hidden Object Mystery;891;USA;2017-12-12;663329194
Mystery of the Opera®;909;USA;2017-12-12;1265270522
Hidden City®;49;UK;2017-12-12;722217471
Mahjong Journey®;74;UK;2017-12-12;938207958
The Secret Society®;82;UK;2017-12-12;542180079
Twin Moons®;157;UK;2017-12-12;1151831172
Survivors: the Quest®;211;UK;2017-12-12;937737946
The Paranormal Society™;241;UK;2017-12-12;990652974
Pirates &amp Pearls™;283;UK;2017-12-12;1241322027
Mystery of the Opera®;682;UK;2017-12-12;1265270522
Letters From Nowhere®: A Hidden Object Mystery;927;UK;2017-12-12;663329194
Hidden City®;33;Tyskland;2017-12-12;722217471
The Secret Society®;137;Tyskland;2017-12-12;542180079
Mahjong Journey®;143;Tyskland;2017-12-12;938207958
Supermarket Mania® Journey;156;Tyskland;2017-12-12;1019149311
Survivors: the Quest®;264;Tyskland;2017-12-12;937737946
Twin Moons®;382;Tyskland;2017-12-12;1151831172
Pirates &amp Pearls™;500;Tyskland;2017-12-12;1241322027
The Paranormal Society™;549;Tyskland;2017-12-12;990652974
Mystery of the Opera®;686;Tyskland;2017-12-12;1265270522
Kingdom Tales 2 HD;768;Tyskland;2017-12-12;960639511
Farm Clan®: Farm Life Adventure;793;Tyskland;2017-12-12;669985678
Homicide Squad: Hidden Crimes;995;Tyskland;2017-12-12;1179007417
Hidden City®;47;Canada;2017-12-12;722217471
Mahjong Journey®;143;Canada;2017-12-12;938207958
The Secret Society®;177;Canada;2017-12-12;542180079
Twin Moons®;191;Canada;2017-12-12;1151831172
Mystery of the Opera®;345;Canada;2017-12-12;1265270522
Survivors: the Quest®;362;Canada;2017-12-12;937737946
Supermarket Mania® Journey;387;Canada;2017-12-12;1019149311
Letters From Nowhere®: A Hidden Object Mystery;391;Canada;2017-12-12;663329194
The Paranormal Society™;471;Canada;2017-12-12;990652974
Pirates &amp Pearls™;634;Canada;2017-12-12;1241322027
Farm Clan®: Farm Life Adventure;679;Canada;2017-12-12;669985678
Mind Snares: Alice&#39s Journey HD;758;Canada;2017-12-12;942900332
Hidden City®;56;Frankrike;2017-12-12;722217471
Mahjong Journey®;101;Frankrike;2017-12-12;938207958
The Secret Society®;233;Frankrike;2017-12-12;542180079
Homicide Squad: Hidden Crimes;390;Frankrike;2017-12-12;1179007417
Survivors: the Quest®;392;Frankrike;2017-12-12;937737946
Pirates &amp Pearls™;430;Frankrike;2017-12-12;1241322027
Virtual City Playground®: Building Tycoon HD;432;Frankrike;2017-12-12;447763975
The Paranormal Society™;579;Frankrike;2017-12-12;990652974
Mind Snares: Alice&#39s Journey HD;619;Frankrike;2017-12-12;942900332
Twin Moons®;878;Frankrike;2017-12-12;1151831172
Nightmares from the Deep™: The Siren’s Call HD (Full);933;Frankrike;2017-12-12;695111082
Hidden City®;31;Japan;2017-12-12;722217471
Mahjong Journey®;233;Japan;2017-12-12;938207958
Twin Moons®;345;Japan;2017-12-12;1151831172
Survivors: the Quest®;374;Japan;2017-12-12;937737946
The Secret Society®;380;Japan;2017-12-12;542180079
Kate Malone;398;Japan;2017-12-12;1032350309
The Paranormal Society™;536;Japan;2017-12-12;990652974
Stand O’Food® City: Virtual Frenzy;537;Japan;2017-12-12;672707752
Mystery of the Opera®;598;Japan;2017-12-12;1265270522
Pirates &amp Pearls™;633;Japan;2017-12-12;1241322027
Homicide Squad: Hidden Crimes;731;Japan;2017-12-12;1179007417
Nightmares from the Deep™: The Siren’s Call HD;914;Japan;2017-12-12;695111371
The Cursed Ship, Collector’s Edition HD;915;Japan;2017-12-12;807485218
Hidden City®;40;Australien;2017-12-12;722217471
The Secret Society®;66;Australien;2017-12-12;542180079
Mahjong Journey®;89;Australien;2017-12-12;938207958
Pirates &amp Pearls™;161;Australien;2017-12-12;1241322027
Survivors: the Quest®;235;Australien;2017-12-12;937737946
Twin Moons®;314;Australien;2017-12-12;1151831172
Mystery of the Opera®;320;Australien;2017-12-12;1265270522
Supermarket Mania® Journey;345;Australien;2017-12-12;1019149311
Homicide Squad: Hidden Crimes;461;Australien;2017-12-12;1179007417
Nightmares from the Deep®;500;Australien;2017-12-12;1132245104
Myths of Orion: Light from the North;758;Australien;2017-12-12;1048976307
Hidden City®;49;Italien;2017-12-12;722217471
Mahjong Journey®;113;Italien;2017-12-12;938207958
Pirates &amp Pearls™;227;Italien;2017-12-12;1241322027
The Secret Society®;234;Italien;2017-12-12;542180079
Survivors: the Quest®;286;Italien;2017-12-12;937737946
Lost Souls: Timeless Fables HD (Full);335;Italien;2017-12-12;1021996164
Twin Moons®;558;Italien;2017-12-12;1151831172
Nightmares from the Deep®;676;Italien;2017-12-12;1132245104
Lost Souls: Enchanted Paintings HD (Full);739;Italien;2017-12-12;520133320
Mind Snares: Alice&#39s Journey HD;832;Italien;2017-12-12;942900332
Supermarket Mania® Journey;868;Italien;2017-12-12;1019149311
Letters From Nowhere®: A Hidden Object Mystery;953;Italien;2017-12-12;663329194
Hidden City®;106;Holland;2017-12-12;722217471
The Secret Society®;282;Holland;2017-12-12;542180079
Twin Moons®;338;Holland;2017-12-12;1151831172
Letters from Nowhere® 2 HD (Full);423;Holland;2017-12-12;497947178
Mystery of the Opera®;451;Holland;2017-12-12;1265270522
Treasure Seekers: Visions of Gold HD (Full);511;Holland;2017-12-12;388932738
Mahjong Journey®;579;Holland;2017-12-12;938207958
Survivors: the Quest®;586;Holland;2017-12-12;937737946
Farm Clan®: Farm Life Adventure;650;Holland;2017-12-12;669985678
Royal Trouble: Hidden Honeymoon Havoc HD;722;Holland;2017-12-12;1061664350
Pirates &amp Pearls™;780;Holland;2017-12-12;1241322027
Hidden City®;27;Spanien;2017-12-12;722217471
Mahjong Journey®;52;Spanien;2017-12-12;938207958
Letters From Nowhere®: A Hidden Object Mystery;149;Spanien;2017-12-12;663329194
The Secret Society®;179;Spanien;2017-12-12;542180079
Farm Clan®: Farm Life Adventure;205;Spanien;2017-12-12;669985678
Survivors: the Quest®;344;Spanien;2017-12-12;937737946
Twin Moons®;380;Spanien;2017-12-12;1151831172
The Paranormal Society™;520;Spanien;2017-12-12;990652974
Pirates &amp Pearls™;664;Spanien;2017-12-12;1241322027
Mystery of the Opera®;671;Spanien;2017-12-12;1265270522
9 Clues 2: The Ward HD;680;Spanien;2017-12-12;969502865
Hidden City®;44;Kina;2017-12-12;722217471
Mahjong Journey®;275;Kina;2017-12-12;938207958
Supermarket Mania® Journey;407;Kina;2017-12-12;1019149311
The Secret Society®;426;Kina;2017-12-12;542180079
Pirates &amp Pearls™;508;Kina;2017-12-12;1241322027
Mystery of the Opera®;531;Kina;2017-12-12;1265270522
Twin Moons®;589;Kina;2017-12-12;1151831172
Survivors: the Quest®;599;Kina;2017-12-12;937737946
Mind Snares: Alice&#39s Journey HD;999;Kina;2017-12-12;942900332
Homicide Squad: Hidden Crimes;1000;Kina;2017-12-12;1179007417
Hidden City®;66;Korea;2017-12-12;722217471
Twin Moons®;210;Korea;2017-12-12;1151831172
The Secret Society®;227;Korea;2017-12-12;542180079
Royal Trouble: Hidden Honeymoon Havoc;247;Korea;2017-12-12;1061659368
Homicide Squad: Hidden Crimes;327;Korea;2017-12-12;1179007417
Pirates &amp Pearls™;351;Korea;2017-12-12;1241322027
Mahjong Journey®;408;Korea;2017-12-12;938207958
The Paranormal Society™;502;Korea;2017-12-12;990652974
Royal Trouble;505;Korea;2017-12-12;473220387
Survivors: the Quest®;529;Korea;2017-12-12;937737946
Virtual City Playground®: Building Tycoon HD;717;Korea;2017-12-12;447763975
The Island Castaway®: Lost World™;862;Korea;2017-12-12;767324855
Letters From Nowhere®: A Hidden Object Mystery;963;Korea;2017-12-12;663329194
Hidden City®;16;Ryssland;2017-12-12;722217471
Survivors: the Quest®;32;Ryssland;2017-12-12;937737946
Pirates &amp Pearls™;94;Ryssland;2017-12-12;1241322027
The Secret Society®;100;Ryssland;2017-12-12;542180079
Mahjong Journey®;116;Ryssland;2017-12-12;938207958
Twin Moons®;182;Ryssland;2017-12-12;1151831172
Mind Snares: Alice&#39s Journey HD;419;Ryssland;2017-12-12;942900332
Kate Malone;439;Ryssland;2017-12-12;1032350309
Supermarket Mania® Journey;467;Ryssland;2017-12-12;1019149311
The Island Castaway®: Lost World™;693;Ryssland;2017-12-12;767324855
The Island - Castaway® HD;727;Ryssland;2017-12-12;498932805
Letters From Nowhere®: A Hidden Object Mystery;748;Ryssland;2017-12-12;663329194
Supermarket Management 2;962;Ryssland;2017-12-12;603132715
Hidden City®;139;Brasilien;2017-12-12;722217471
Mahjong Journey®;184;Brasilien;2017-12-12;938207958
The Secret Society®;319;Brasilien;2017-12-12;542180079
The Island Castaway®: Lost World™;450;Brasilien;2017-12-12;767324855
Survivors: the Quest®;493;Brasilien;2017-12-12;937737946
Nightmares from the Deep®;630;Brasilien;2017-12-12;1132245104
Virtual City Playground®: Building Tycoon HD;867;Brasilien;2017-12-12;447763975
Hidden City®;39;USA;2017-12-13;722217471
Mahjong Journey®;74;USA;2017-12-13;938207958
The Secret Society®;112;USA;2017-12-13;542180079
Supermarket Mania® Journey;279;USA;2017-12-13;1019149311
Pirates &amp Pearls™;325;USA;2017-12-13;1241322027
Twin Moons®;336;USA;2017-12-13;1151831172
Survivors: the Quest®;408;USA;2017-12-13;937737946
Letters From Nowhere®: A Hidden Object Mystery;474;USA;2017-12-13;663329194
Homicide Squad: Hidden Crimes;714;USA;2017-12-13;1179007417
The Paranormal Society™;720;USA;2017-12-13;990652974
Mystery of the Opera®;916;USA;2017-12-13;1265270522
Hidden City®;38;UK;2017-12-13;722217471
Mahjong Journey®;69;UK;2017-12-13;938207958
The Secret Society®;91;UK;2017-12-13;542180079
Twin Moons®;179;UK;2017-12-13;1151831172
Survivors: the Quest®;197;UK;2017-12-13;937737946
The Paranormal Society™;223;UK;2017-12-13;990652974
Pirates &amp Pearls™;248;UK;2017-12-13;1241322027
The Island Castaway®: Lost World™;534;UK;2017-12-13;767324855
Homicide Squad: Hidden Crimes;643;UK;2017-12-13;1179007417
Virtual City Playground®: Building Tycoon HD;813;UK;2017-12-13;447763975
Hidden City®;22;Tyskland;2017-12-13;722217471
Mahjong Journey®;140;Tyskland;2017-12-13;938207958
The Secret Society®;195;Tyskland;2017-12-13;542180079
Supermarket Mania® Journey;322;Tyskland;2017-12-13;1019149311
Survivors: the Quest®;438;Tyskland;2017-12-13;937737946
Pirates &amp Pearls™;446;Tyskland;2017-12-13;1241322027
Twin Moons®;475;Tyskland;2017-12-13;1151831172
The Paranormal Society™;513;Tyskland;2017-12-13;990652974
Hidden City®;43;Canada;2017-12-13;722217471
The Secret Society®;91;Canada;2017-12-13;542180079
Mahjong Journey®;116;Canada;2017-12-13;938207958
Supermarket Mania® Journey;266;Canada;2017-12-13;1019149311
Twin Moons®;346;Canada;2017-12-13;1151831172
Survivors: the Quest®;357;Canada;2017-12-13;937737946
Mystery of the Opera®;430;Canada;2017-12-13;1265270522
Letters From Nowhere®: A Hidden Object Mystery;623;Canada;2017-12-13;663329194
The Paranormal Society™;648;Canada;2017-12-13;990652974
Homicide Squad: Hidden Crimes;676;Canada;2017-12-13;1179007417
Pirates &amp Pearls™;681;Canada;2017-12-13;1241322027
Mahjong Journey®;78;Frankrike;2017-12-13;938207958
Hidden City®;104;Frankrike;2017-12-13;722217471
The Secret Society®;122;Frankrike;2017-12-13;542180079
Survivors: the Quest®;195;Frankrike;2017-12-13;937737946
Virtual City Playground®: Building Tycoon HD;546;Frankrike;2017-12-13;447763975
The Paranormal Society™;548;Frankrike;2017-12-13;990652974
Game of Dragons HD;563;Frankrike;2017-12-13;748094190
Pirates &amp Pearls™;579;Frankrike;2017-12-13;1241322027
Homicide Squad: Hidden Crimes;616;Frankrike;2017-12-13;1179007417
Twin Moons®;623;Frankrike;2017-12-13;1151831172
The Island Castaway®: Lost World™;809;Frankrike;2017-12-13;767324855
Mind Snares: Alice&#39s Journey HD;892;Frankrike;2017-12-13;942900332
Supermarket Mania® Journey;980;Frankrike;2017-12-13;1019149311
Hidden City®;26;Japan;2017-12-13;722217471
Mahjong Journey®;299;Japan;2017-12-13;938207958
Twin Moons®;349;Japan;2017-12-13;1151831172
The Secret Society®;359;Japan;2017-12-13;542180079
Stand O’Food® City: Virtual Frenzy;457;Japan;2017-12-13;672707752
Survivors: the Quest®;498;Japan;2017-12-13;937737946
Kate Malone;507;Japan;2017-12-13;1032350309
Mystery of the Opera®;509;Japan;2017-12-13;1265270522
The Paranormal Society™;555;Japan;2017-12-13;990652974
Pirates &amp Pearls™;588;Japan;2017-12-13;1241322027
Homicide Squad: Hidden Crimes;782;Japan;2017-12-13;1179007417
Letters From Nowhere®: A Hidden Object Mystery;884;Japan;2017-12-13;663329194
Hidden City®;21;Australien;2017-12-13;722217471
The Secret Society®;102;Australien;2017-12-13;542180079
Mahjong Journey®;154;Australien;2017-12-13;938207958
Pirates &amp Pearls™;191;Australien;2017-12-13;1241322027
Survivors: the Quest®;218;Australien;2017-12-13;937737946
Twin Moons®;356;Australien;2017-12-13;1151831172
Mystery of the Opera®;382;Australien;2017-12-13;1265270522
Supermarket Mania® Journey;608;Australien;2017-12-13;1019149311
Homicide Squad: Hidden Crimes;646;Australien;2017-12-13;1179007417
Letters From Nowhere®: A Hidden Object Mystery;724;Australien;2017-12-13;663329194
Nightmares from the Deep®;884;Australien;2017-12-13;1132245104
Hidden City®;33;Italien;2017-12-13;722217471
Mahjong Journey®;149;Italien;2017-12-13;938207958
Pirates &amp Pearls™;245;Italien;2017-12-13;1241322027
Mind Snares: Alice&#39s Journey HD;327;Italien;2017-12-13;942900332
Survivors: the Quest®;332;Italien;2017-12-13;937737946
The Secret Society®;342;Italien;2017-12-13;542180079
Lost Souls: Timeless Fables HD (Full);553;Italien;2017-12-13;1021996164
Mystery of the Opera®;716;Italien;2017-12-13;1265270522
Twin Moons®;763;Italien;2017-12-13;1151831172
Nightmares from the Deep®;870;Italien;2017-12-13;1132245104
Lost Souls: Enchanted Paintings HD (Full);921;Italien;2017-12-13;520133320
Hidden City®;105;Holland;2017-12-13;722217471
The Secret Society®;156;Holland;2017-12-13;542180079
Mahjong Journey®;237;Holland;2017-12-13;938207958
Twin Moons®;351;Holland;2017-12-13;1151831172
Survivors: the Quest®;496;Holland;2017-12-13;937737946
Letters from Nowhere® 2 HD (Full);667;Holland;2017-12-13;497947178
Mystery of the Opera®;711;Holland;2017-12-13;1265270522
Treasure Seekers: Visions of Gold HD (Full);758;Holland;2017-12-13;388932738
Farm Clan®: Farm Life Adventure;893;Holland;2017-12-13;669985678
Royal Trouble: Hidden Honeymoon Havoc HD;955;Holland;2017-12-13;1061664350
Hidden City®;22;Spanien;2017-12-13;722217471
Mahjong Journey®;59;Spanien;2017-12-13;938207958
Letters From Nowhere®: A Hidden Object Mystery;113;Spanien;2017-12-13;663329194
The Secret Society®;199;Spanien;2017-12-13;542180079
The Cursed Ship, Collector’s Edition HD;247;Spanien;2017-12-13;807485218
Mind Snares: Alice&#39s Journey HD;248;Spanien;2017-12-13;942900332
Abyss: the Wraiths of Eden HD;253;Spanien;2017-12-13;561086038
Twin Moons®;279;Spanien;2017-12-13;1151831172
Farm Clan®: Farm Life Adventure;282;Spanien;2017-12-13;669985678
Mystery of the Opera®;291;Spanien;2017-12-13;1265270522
Pirates &amp Pearls™;308;Spanien;2017-12-13;1241322027
The Paranormal Society™;425;Spanien;2017-12-13;990652974
Survivors: the Quest®;519;Spanien;2017-12-13;937737946
9 Clues 2: The Ward HD;836;Spanien;2017-12-13;969502865
Hidden City®;47;Kina;2017-12-13;722217471
Mahjong Journey®;287;Kina;2017-12-13;938207958
The Secret Society®;330;Kina;2017-12-13;542180079
Homicide Squad: Hidden Crimes;391;Kina;2017-12-13;1179007417
Twin Moons®;455;Kina;2017-12-13;1151831172
